"{'tweet_id': '126415614616154112', 'label': 'positive', 'topic': 'apple', 'text': 'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is'}"
"{'tweet_id': '126404574230740992', 'label': 'positive', 'topic': 'apple', 'text': '@Apple will be adding more carrier support to the iPhone 4S (just announced)'}"
"{'tweet_id': '126402758403305474', 'label': 'positive', 'topic': 'apple', 'text': ""Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY""}"
"{'tweet_id': '126397179614068736', 'label': 'positive', 'topic': 'apple', 'text': '@RIM you made it too easy for me to switch to @Apple iPhone. See ya!'}"
"{'tweet_id': '126379685453119488', 'label': 'positive', 'topic': 'apple', 'text': 'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace'}"
"{'tweet_id': '126377656416612353', 'label': 'positive', 'topic': 'apple', 'text': 'Great up close & personal event @Apple tonight in Regent St store!'}"
"{'tweet_id': '126373779483004928', 'label': 'positive', 'topic': 'apple', 'text': 'From which companies do you experience the best customer service aside from @zappos and @apple?'}"
"{'tweet_id': '126365858481188864', 'label': 'positive', 'topic': 'apple', 'text': 'Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol'}"
"{'tweet_id': '126360398885687296', 'label': 'positive', 'topic': 'apple', 'text': 'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple'}"
"{'tweet_id': '126357982685569024', 'label': 'positive', 'topic': 'apple', 'text': '你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  \ue516\ue513'}"
"{'tweet_id': '126352268705538048', 'label': 'positive', 'topic': 'apple', 'text': 'Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”'}"
"{'tweet_id': '126342268603998208', 'label': 'positive', 'topic': 'apple', 'text': 'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.'}"
"{'tweet_id': '126325800080392193', 'label': 'positive', 'topic': 'apple', 'text': '@DailyDealChat @apple Thanks!!'}"
"{'tweet_id': '126324177501302784', 'label': 'positive', 'topic': 'apple', 'text': 'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes'}"
"{'tweet_id': '126322063332999169', 'label': 'positive', 'topic': 'apple', 'text': '@apple @siri is efffing amazing!!'}"
"{'tweet_id': '126318009647235072', 'label': 'positive', 'topic': 'apple', 'text': 'RT @TripLingo: We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'}"
